ID,Study citation,Family,Subfamily,Operational contribution and branches,Consider when,Finite-sample evidence,Alternative comparison,Robustness,Computational / scalability evidence,Implementation availability
01,Alexopoulos et al. (2015),Family 1 - Precision or uncertainty sufficiency,Quantile estimation,"Sequest for stationary-quantile CIs; no-precision, relative-precision, and absolute-precision branches",Stationary quantile; relative/absolute precision,"~ 1,000 replications in three processes and several quantiles/configurations cover the no-precision and relative branches, but not the absolute branch",— None reported.,— Non-normality. ✓ Autocorrelation/dependence: AR(1) and queueing processes contrast dependence and autocorrelation. — Nonstationarity. — Model misspecification.,"✓ batch/sample sizes reported in multiple processes, quantiles, and precisions","~ detailed formulas and steps, but no counter, NR semantics, or code"
02,Bandyopadhyay et al. (2015),Family 1 - Precision or uncertainty sufficiency,Mean estimation,Fully sequential fixed-width CI rule; RPW-target and BB-type branches,Mean difference; absolute precision,"✓ 10,000 replications on binary and normal grids, with coverage and E(N); there is undercoverage and one impossible cell",— None reported.,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"✓ E(N) evaluated across multiple parameters, widths, and acquisition policies","~ rule/formulas reproducible in principle, but no executable code/pseudocode and no fallback for invalid states"
03,Bandyopadhyay et al. (2015),Family 1 - Precision or uncertainty sufficiency,Mean estimation,Two-stage Stein-type procedure; C1-C3 branches and two stage-1 acquisitions,Mean difference; two-stage absolute precision,"✓ C1-C3 evaluated by simulation in RPW-target and BB-type configurations, with coverage and E(N_T)",✓ C1-C3 are compared in a common scenario; the comparison is restricted to tabulated configurations,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ E(N_T) reported for distinct calibrations and configurations,"~ horizon and updates are specified, but there is no code and fallbacks for invalid counts/variances are missing"
04,Semelhago et al. (2022),Family 5 - Resource-aware acquisition and stopping,,"Parallel rGMIA package: q-CEI, closed form, greedy selection, and MATLAB OOP implementation; stopping by precision or budget",Parallel acquisition; precision/budget,"✓ 50 macro-replications, q=2-5, different screenings, and gap/cost metrics; terminal decision is not directly validated",✓ greedy batch q-CEI compared with largest marginal CEIs in a common environment,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ times measured systematically for several q and screening sizes,"~ GitHub repository and four-class MATLAB architecture are reported, but access/usability were not verified in this reading"
05,Silva et al. (2023),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,Ideal exact sequential procedure for a fixed-width or fixed-accuracy interval,Population size; fixed width or multiplicative accuracy,— None reported.,— None reported.,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ described as computationally intensive, without systematic scaling evaluation","~ formulas and MLE search are supplied, but Eq. (7) is not literally executable without an interpretive decision"
06,Silva et al. (2023),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,MRM Monte Carlo for a fixed-width or fixed-accuracy interval,Population size; Monte Carlo fixed width or accuracy,"✓ coverage and withdrawals evaluated on grids of N, t, d, or δ; results include exceptions to the effort advantage",✓ MRM compared with AS in common scenarios by coverage and effort,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ recapture effort quantified across multiple scales/configurations; Monte Carlo computational cost is discussed only qualitatively,"~ Eq. (9) and mechanism are supplied, but m, code, software, seeds, and a rule for decisions near α are missing"
07,Alexopoulos et al. (2016a),Family 1 - Precision or uncertainty sufficiency,Quantile estimation,"Sequem for extreme quantiles, with no-precision, absolute-precision, and relative-precision branches",Extreme quantile; relative/absolute precision,"✓ 1,000 replications in three processes, quantiles, and finite regimes; coverage and size reported",~ Comparisons with Sequest/other published numbers are not uniform across all configurations,✓ Non-normality: Multiple nonnormal marginal distributions were evaluated. ✓ Autocorrelation/dependence: Processes with distinct dependence structures were compared. — Nonstationarity. — Model misspecification.,"✓ Sample cost quantified in multiple processes/quantiles, up to about 38 million; CPU/memory not measured","~ Detailed algorithm and formulas; Java mentioned, but no verifiable artifact"
08,Alexopoulos et al. (2016b),Family 1 - Precision or uncertainty sufficiency,Mean estimation,"SPSTS for stationary-mean CI, with relative, absolute, and no-precision branches; optional post-stopping σ² CIs",Stationary mean; relative/absolute precision,"✓ Five processes and multiple precision regimes with coverage, half-width, and sample size","~ ASAP3 and Skart are identified comparators, but some results come from a previous study and the design is uneven","✓ Non-normality: ARTOP and queueing processes include nonnormal marginal distributions. ✓ Autocorrelation/dependence: AR(1), queueing processes, and ARTOP contrast dependence structures. — Nonstationarity. — Model misspecification.",✓ Sample size compared across several processes/regimes; overall time remains open,"~ Formulas, algorithm, and flowchart allow partial reconstruction, but executable states are unspecified and no package was located"
09,Alexopoulos et al. (2017),Family 1 - Precision or uncertainty sufficiency,Quantile estimation,Automated Sequem for extreme quantiles; upper no-precision/precision branches and an intended lower counterpart,Extreme quantile; upper precision branch,"✓ Seven processes, three quantiles, several precision levels, and 1,000 replications per configuration",✓ Direct comparison with Sequest under common configurations and metrics,✓ Non-normality: Seven processes include distinct nonnormal marginal distributions. ✓ Autocorrelation/dependence: Seven processes include distinct dependence structures. — Nonstationarity. — Model misspecification.,"✓ Sample, observed time, and sorting cost are reported across multiple configurations, although without global algorithm analysis","~ Java implementation reported and procedure detailed, but code only promised and no verifiable artifact"
10,Alexopoulos et al. (2017),Family 4 - Operational-state sufficiency,,Ad hoc Sequem extension for non-extreme quantile CIs using already acquired data,Non-extreme quantile; post-run CI,~ One detailed study and claims without complete results for additional applications; nonmonotone precision and overcoverage,— None reported.,~ Non-normality: One case is reported in detail; additional results are omitted. ~ Autocorrelation/dependence: One case is reported in detail; additional results are omitted. — Nonstationarity. — Model misspecification.,— None reported.,"~ Procedure described by reference to Sequest steps, without verifiable artifact"
